linha;grupo;subgrupo;tipo_mercadoria;fabricante
Hidrologia;Medidor de Vazão Fixo;Produto;Signature;
Hidrologia;Medidor de Vazão Fixo;Produto;Signature;ISCO
Hidrologia;Medidor de Vazão Fixo;Produto;Sistema;SON
Hidrologia;Medidor de Vazão FlowTracker;Produto;FlowTracker;
Hidrologia;Medidor de Vazão FlowTracker;Produto;FlowTracker;SON
Hidrologia;Medidor de Vazão Portátil;Produto;Acessório;Clean
Hidrologia;Medidor de Vazão Portátil;Produto;Acessório;ISCO
Hidrologia;Medidor de Vazão Portátil;Produto;Acessório;NIVELCO
Hidrologia;Medidor de Vazão Portátil;Produto;Acessório;Oceanalpha
Hidrologia;Medidor de Vazão Portátil;Produto;Acessório;RDI
Hidrologia;Medidor de Vazão Portátil;Produto;Acessório;SON
Hidrologia;Medidor de Vazão Portátil;Reposição;Acessório;
Hidrologia;Medidor de Vazão Portátil;Reposição;Acessório;Clean
Hidrologia;Medidor de Vazão Portátil;Reposição;Acessório;ISCO
Hidrologia;Medidor de Vazão Portátil;Reposição;Acessório;MJK
Hidrologia;Medidor de Vazão Portátil;Reposição;Acessório;Oceanalpha
Hidrologia;Medidor de Vazão Portátil;Reposição;Acessório;SON
Hidrologia;Medidor de Vazão Portátil;Reposição;Anel;SON
Hidrologia;Medidor de Vazão Portátil;Produto;Argonaut;SON
Hidrologia;Medidor de Vazão Portátil;Reposição;Cabo;
Hidrologia;Medidor de Vazão Portátil;Reposição;Cabo;Clean
Hidrologia;Medidor de Vazão Portátil;Reposição;Cabo;RDI
Hidrologia;Medidor de Vazão Portátil;Reposição;Cabo;SON
Hidrologia;Medidor de Vazão Portátil;Produto;DataLogger;RDI
Hidrologia;Medidor de Vazão Portátil;Produto;DataLogger;SON
Hidrologia;Medidor de Vazão Portátil;Produto;DataLogger;YSI
Hidrologia;Medidor de Vazão Portátil;Produto;Embarcação;Oceanalpha
Hidrologia;Medidor de Vazão Portátil;Produto;Embarcação;SON
Hidrologia;Medidor de Vazão Portátil;Insumo;Filtro;ISCO
Hidrologia;Medidor de Vazão Portátil;Reposição;M9;SON
Hidrologia;Medidor de Vazão Portátil;Produto;MicroADV;SON
Hidrologia;Medidor de Vazão Portátil;Produto;MV02;ISCO
Hidrologia;Medidor de Vazão Portátil;Produto;MV03;ISCO
Hidrologia;Medidor de Vazão Portátil;Produto;PCM;
Hidrologia;Medidor de Vazão Portátil;Produto;PCM;SON
Hidrologia;Medidor de Vazão Portátil;Produto;Sensor;Clean
Hidrologia;Medidor de Vazão Portátil;Produto;Sensor;NIVELCO
Hidrologia;Medidor de Vazão Portátil;Reposição;Sensor;
Hidrologia;Medidor de Vazão Portátil;Reposição;Sensor;Global Water
Hidrologia;Medidor de Vazão Portátil;Reposição;Sensor;ISCO
Hidrologia;Medidor de Vazão Portátil;Reposição;Sensor;MJK
Hidrologia;Medidor de Vazão Portátil;Reposição;Sensor;SON
Hidrologia;Medidor de Vazão Portátil;Produto;Sistema;RDI
Hidrologia;Medidor de Vazão RS5;Produto;Embarcação;
Hidrologia;Medidor de Vazão RS5;Produto;Embarcação;SON
Hidrologia;Medidor de Vazão RS5;Produto;RS5;
Hidrologia;Medidor de Vazão RS5;Produto;RS5;SON
Hidrologia;Medidor de Vazão RS6;Produto;RS6;
Hidrologia;Medidor de Vazão RS7;Produto;RS7;
Hidrologia;Medidor de Vazão RS-M10;Produto;M10;
Hidrologia;Medidor de Vazão RS-M11;Produto;M11;
Hidrologia;Medidor de Vazão RS-M9;Produto;Acessório;
Hidrologia;Medidor de Vazão RS-M9;Produto;Acessório;Clean
Hidrologia;Medidor de Vazão RS-M9;Produto;Acessório;SON
Hidrologia;Medidor de Vazão RS-M9;Produto;ADCP;Clean
Hidrologia;Medidor de Vazão RS-M9;Produto;ADCP;SON
Hidrologia;Medidor de Vazão RS-M9;Produto;Embarcação;
Hidrologia;Medidor de Vazão RS-M9;Produto;Embarcação;SON
Hidrologia;Medidor de Vazão RS-M9;Produto;M9;
Hidrologia;Medidor de Vazão RS-M9;Produto;M9;SON
Hidrologia;Medidor de Vazão RS-M9;Produto;PCM;SON
Hidrologia;Medidor de Vazão RS-M9;Serviço;Treinamento;SON
Hidrologia;Medidor de Vazão RS-S5;Produto;ADCP;Clean
Hidrologia;Metereologia Fixo;Produto;Acessório;Campbell
Hidrologia;Metereologia Fixo;Produto;Acessório;YSI
Hidrologia;Metereologia Fixo;Reposição;Acessório;Campbell
Hidrologia;Metereologia Fixo;Reposição;Acessório;YSI
Hidrologia;Metereologia Fixo;Reposição;Cabo;YSI
Hidrologia;Metereologia Fixo;Produto;DataLogger;Clean
Hidrologia;Metereologia Fixo;Produto;DataLogger;YSI
Hidrologia;Metereologia Fixo;Produto;Estação;YSI
Hidrologia;Metereologia Fixo;Produto;Estrutura;Clean
Hidrologia;Metereologia Fixo;Produto;Moden;YSI
Hidrologia;Metereologia Fixo;Produto;Sensor;Campbell
Hidrologia;Metereologia Fixo;Produto;Sensor;Clean
Hidrologia;Metereologia Fixo;Produto;Sensor;NOVALINX
Hidrologia;Metereologia Fixo;Produto;Sensor;RIKA
Hidrologia;Metereologia Fixo;Produto;Sensor;YSI
Hidrologia;Metereologia Fixo;Produto;Sistema;YSI
Hidrologia;Metereologia Fixo;Produto;Transdutor;YSI
Hidrologia;Metereologia Fixo;Produto;Transmissor;YSI
Hidrologia;Monitoramento Fixo;Produto;Acessório;Clean
Hidrologia;Monitoramento Fixo;Reposição;Acessório;Clean
Hidrologia;Monitoramento Fixo;Reposição;Cabo;RIKA
Hidrologia;Monitoramento Fixo;Produto;Estação;Clean
Hidrologia;Monitoramento Fixo;Reposição;Estação;Clean
Hidrologia;Monitoramento Fixo;Produto;Estrutura;Clean
Hidrologia;Monitoramento Fixo;Serviço;Hora Técnica;Clean
Hidrologia;Monitoramento Fixo;Serviço;Instalação;Clean
Hidrologia;Monitoramento Fixo;Produto;Painel Solar;Campbell
Hidrologia;Monitoramento Fixo;Produto;Painel Solar;Clean
Hidrologia;Monitoramento Fixo;Produto;Painel Solar;YSI
Hidrologia;Monitoramento Fixo;Reposição;Sensor;RIKA
Hidrologia;Monitoramento Fixo;Produto;Sistema;Clean
Hidrologia;Monitoramento Fixo;Produto;Transdutor;RIKA
Hidrologia;Monitoramento Fixo;Serviço;Transmissor;Clean
Hidrologia;Outros Diversos;Produto;Acessório;Clean
Hidrologia;Painel controlador Diversos;Reposição;Acessório;
Hidrologia;Painel controlador Diversos;Reposição;Acessório;YSI
Hidrologia;Painel controlador Diversos;Reposição;Cabo;
Hidrologia;Painel controlador Diversos;Reposição;Cabo;YSI
Hidrologia;Painel controlador Diversos;Reposição;Sensor;
Hidrologia;Painel controlador Diversos;Reposição;Sensor;YSI
Hidrologia;Sonda Portátil;Reposição;Acessório;
Hidrologia;Sonda Portátil;Reposição;Acessório;Clean
Hidrologia;Sonda Portátil;Reposição;Acessório;QED
Hidrologia;Sonda Portátil;Reposição;Acessório;YSI
Hidrologia;Sonda Portátil;Reposição;Anel;Clean
Hidrologia;Sonda Portátil;Reposição;Anel;QED
Hidrologia;Sonda Portátil;Reposição;Anel;YSI
Hidrologia;Sonda Portátil;Reposição;Cabo;
Hidrologia;Sonda Portátil;Reposição;Cabo;Clean
Hidrologia;Sonda Portátil;Reposição;Cabo;QED
Hidrologia;Sonda Portátil;Reposição;Cabo;YSI
Hidrologia;Sonda Portátil;Produto;Castaway;SON
Hidrologia;Sonda Portátil;Reposição;ProDss;YSI
Hidrologia;Sonda Portátil;Reposição;Sensor;
Hidrologia;Sonda Portátil;Reposição;Sensor;Clean
Hidrologia;Sonda Portátil;Reposição;Sensor;EMEC
Hidrologia;Sonda Portátil;Reposição;Sensor;QED
Hidrologia;Sonda Portátil;Reposição;Sensor;YSI
Hidrologia;Sonda Portátil ;Reposição;Acessório;
Hidrologia;Sonda Serie 6;Produto;6600;YSI
Hidrologia;Sonda Serie 6;Produto;Maleta;YSI
Hidrologia;Sonda Serie 6;Produto;SERIE6;YSI
Hidrologia;Sonda Serie EcoSense;Produto;Display;YSI
Hidrologia;Sonda Serie EcoSense;Produto;DO200;YSI
Hidrologia;Sonda Serie EcoSense;Produto;EC300;YSI
Hidrologia;Sonda Serie EcoSense;Produto;EC30A;YSI
Hidrologia;Sonda Serie EcoSense;Produto;Maleta;YSI
Hidrologia;Sonda Serie EcoSense;Produto;ODO200;YSI
Hidrologia;Sonda Serie EcoSense;Produto;PH100;YSI
Hidrologia;Sonda Serie EXO;Produto;Acessório;YSI
Hidrologia;Sonda Serie EXO;Produto;EXO;
Hidrologia;Sonda Serie EXO;Produto;EXO;YSI
Hidrologia;Sonda Serie EXO;Produto;EXO (Completa);Clean
