linha;grupo;subgrupo;tipo_mercadoria;fabricante
Remediação;Painel controlador Diversos;Reposição;Acessório;Clean
Remediação;Painel controlador Diversos;Reposição;Acessório;QED
Remediação;Painel controlador Diversos;Reposição;Anel;QED
Remediação;Painel controlador Diversos;Insumo;Filtro;QED
Remediação;Painel controlador Diversos;Produto;SC;QED
Remediação;Painel controlador Fixo;Reposição;Acessório;QED
Remediação;Painel controlador Fixo;Produto;C100;QED
Remediação;Painel controlador Fixo;Produto;L360;QED
Remediação;Painel controlador Portátil;Reposição;Acessório;QED
Remediação;Painel controlador Portátil;Reposição;Anel;QED
Remediação;Painel controlador Portátil;Insumo;Filtro;QED
Remediação;Painel controlador Portátil;Produto;MP10;QED
Remediação;Painel controlador Portátil;Produto;MP15;QED
Remediação;Painel controlador Portátil;Produto;MP50;QED
Remediação;Separador de Agua/ Oleo Fixo;Reposição;Acessório;
Remediação;Separador de Agua/ Oleo Fixo;Reposição;Acessório;ABK
Remediação;Separador de Agua/ Oleo Fixo;Reposição;Acessório;Clean
Remediação;Separador de Agua/ Oleo Fixo;Reposição;Acessório;QED
Remediação;Separador de Agua/ Oleo Fixo;Reposição;Anel;QED
Remediação;Separador de Agua/ Oleo Fixo;Insumo;Diversos;Clean
Remediação;Separador de Agua/ Oleo Fixo;Insumo;Filtro;COPPI
Remediação;Separador de Agua/ Oleo Fixo;Reposição;Manning;Clean
Remediação;Separador de Agua/ Oleo Fixo;Reposição;Manta;Clean
Remediação;Separador de Agua/ Oleo Fixo;Produto;Sistema;Clean
Remediação;Separador de Agua/ Oleo Fixo;Produto;Skimmer;
Remediação;Separador de Agua/ Oleo Fixo;Produto;Skimmer;ABK
Remediação;Separador de Agua/ Oleo Fixo;Produto;Skimmer;QED
Remediação;Sonda Portátil;Reposição;Acessório;QED
Remediação;Sonda Portátil;Produto;MP20;QED
Remediação;Telemetria Fixo;Produto;Bomba;Clean
Remediação;TERMAL Fixo;Serviço;TERMAL;Clean
Remediação;Tratamento Diversos;Produto;Quimico;Regenesis
Remediação;Tratamento Fixo;Produto;Acessório;Clean
Remediação;Tratamento Fixo;Produto;Acessório;QED
Remediação;Tratamento Fixo;Produto;Air Striper;QED
Remediação;Tratamento Fixo;Reposição;Anel;QED
Remediação;Tratamento Fixo;Produto;Bomba;EMEC
Remediação;Tratamento Fixo;Produto;Painel de Controle;Clean
Remediação;Tratamento Fixo;Produto;Sistema;Clean
Remediação;UMR Fixo;Produto;Acessório;Clean
Remediação;UMR Fixo;Serviço;Reforma;Clean
Remediação;UMR Fixo;Produto;UMR;Clean
Saneamento;Analisador Fixo;Produto;3017M;YSI
Saneamento;Analisador Microbiologico;Produto;GeneCount;
Saneamento;Analisador Microbiologico;Produto;GeneCount;Luminutra
Saneamento;Analisador Microbiologico;Produto;Luminometro;
Saneamento;Analisador Microbiologico;Produto;Luminometro;Luminutra
Saneamento;Analisador Microbiologico;Insumo;Reagente;
Saneamento;Analisador Microbiologico;Insumo;Reagente;Luminutra
Saneamento;Sonda Serie IQ SensorNet;Produto;Controlador;
Saneamento;Sonda Serie IQ SensorNet;Produto;Controlador;YSI
SSO;Amostragem Diversos;Produto;CALIBRADOR;CASELLA
SSO;Analisador Fixo;Reposição;Acessório;ION
SSO;Analisador Fixo;Produto;Falco;ION
SSO;Analisador Fixo;Insumo;Filtro;ION
SSO;Analisador Fixo;Reposição;Sensor;ION
SSO;Analisador Fixo;Produto;Titan;ION
SSO;Analisador Portátil;Produto;Acessório;ION
SSO;Analisador Portátil;Reposição;Acessório;ION
SSO;Analisador Portátil;Reposição;Anel;ION
SSO;Analisador Portátil;Produto;BW ULTRA;
SSO;Analisador Portátil;Produto;BW ULTRA;HON
SSO;Analisador Portátil;Insumo;Filtro;ION
SSO;Analisador Portátil;Produto;Gascheck;ION
SSO;Analisador Portátil;Produto;Panther;ION
SSO;Analisador Portátil;Reposição;Sensor;ION
SSO;BOMBA DE AMOSTRAGEM Portátil;Produto;Acessório;CASELLA
SSO;BOMBA DE AMOSTRAGEM Portátil;Reposição;Acessório;CASELLA
SSO;BOMBA DE AMOSTRAGEM Portátil;Produto;Apex;CASELLA
SSO;BOMBA DE AMOSTRAGEM Portátil;Insumo;Filtro;CASELLA
SSO;Calibração Diversos;Reposição;Acessório;Clean
SSO;Calibração Diversos;Insumo;Cilindro;
SSO;Calibração Diversos;Insumo;Cilindro;Air Liquide
SSO;Calibração Diversos;Insumo;Cilindro;Clean
SSO;Calibração Diversos;Insumo;Cilindro;Coregas
SSO;Calibração Diversos;Insumo;Cilindro;HON
SSO;Calibração Diversos;Insumo;Cilindro;Industrial
SSO;Calibração Diversos;Insumo;Cilindro;LINDE
SSO;Calibração Diversos;Insumo;Cilindro;QED
SSO;Calibração Diversos;Insumo;Cilindro;Thermo
SSO;Calibração Diversos;Insumo;Cilindro;White
SSO;Calibração Diversos;Produto;Estação;HON
SSO;Calibração Diversos;Insumo;Solução;Clean
SSO;Decibelimetro Portátil;Produto;Acessório;CASELLA
SSO;Decibelimetro Portátil;Reposição;Acessório;CASELLA
SSO;Decibelimetro Portátil;Produto;Decibelimetro;CASELLA
SSO;Detector de Incendio Fixo;Produto;Acessório;Clean
SSO;Detector de Incendio Fixo;Produto;Acessório;SF
SSO;Detector de Incendio Fixo;Produto;Acessório;TDS
SSO;Detector de Incendio Fixo;Produto;FIREPRO;TDS
SSO;Detector de Incendio Fixo;Produto;GATEWAY;TDS
SSO;Detector de Incendio Fixo;Produto;Sensor;Clean
SSO;Detector de Incendio Fixo;Produto;Sensor;SF
SSO;Detector de Incendio Fixo;Produto;Sensor;TDS
SSO;Detector de Incendio Fixo;Produto;Termovelocimétrico;TDS
SSO;Detector Diversos;Produto;Acessório;Clean
SSO;Detector Diversos;Produto;Acessório;HON
SSO;Detector Diversos;Reposição;Acessório;Clean
SSO;Detector Diversos;Reposição;Acessório;HON
SSO;Detector Diversos;Reposição;Acessório;Industrial
SSO;Detector Diversos;Reposição;Acessório;Thermo
SSO;Detector Diversos;Insumo;Filtro;HON
SSO;Detector Diversos;Reposição;MICRO 5;HON
SSO;Detector Diversos;Produto;MicroClip;HON
SSO;Detector Diversos;Produto;Rigrat;HON
SSO;Detector Diversos;Reposição;Sensor;HON
SSO;Detector Diversos;Reposição;Sensor;Industrial
SSO;Detector Fixo;Produto;301C;HON
SSO;Detector Fixo;Produto;Acessório;Clean
SSO;Detector Fixo;Produto;Acessório;HON
SSO;Detector Fixo;Produto;Acessório;Industrial
SSO;Detector Fixo;Reposição;Acessório;
SSO;Detector Fixo;Reposição;Acessório;HON
SSO;Detector Fixo;Reposição;Acessório;Industrial
SSO;Detector Fixo;Reposição;Acessório;ION
SSO;Detector Fixo;Produto;Airscan;HON
SSO;Detector Fixo;Produto;CEX300;Industrial
SSO;Detector Fixo;Produto;CTX 300;Industrial
SSO;Detector Fixo;Produto;E3 Point;HON
SSO;Detector Fixo;Produto;E3SM;HON
SSO;Detector Fixo;Produto;Extreme;HON
SSO;Detector Fixo;Insumo;Filtro;HON
SSO;Detector Fixo;Produto;FS20X;HON
SSO;Detector Fixo;Produto;FS24X;HON
SSO;Detector Fixo;Produto;FSL100;HON
SSO;Detector Fixo;Produto;Gaspoint;HON
SSO;Detector Fixo;Produto;HA20;HON
SSO;Detector Fixo;Produto;HA40;HON
SSO;Detector Fixo;Produto;HA71;HON
SSO;Detector Fixo;Produto;HA72;HON
SSO;Detector Fixo;Produto;IAQ POINT 2;HON
SSO;Detector Fixo;Produto;ITRANS;Industrial
SSO;Detector Fixo;Produto;Manning;HON
SSO;Detector Fixo;Produto;Midas;
SSO;Detector Fixo;Produto;Midas;HON
SSO;Detector Fixo;Produto;MKII;HON
SSO;Detector Fixo;Produto;OLCT;Industrial
SSO;Detector Fixo;Produto;Optima Plus;HON
SSO;Detector Fixo;Produto;Painel de Controle;Clean
SSO;Detector Fixo;Produto;Raeguard;
SSO;Detector Fixo;Produto;Raeguard;HON
SSO;Detector Fixo;Produto;SEARCHLINE;HON
SSO;Detector Fixo;Reposição;Sensor;
SSO;Detector Fixo;Reposição;Sensor;HON
SSO;Detector Fixo;Reposição;Sensor;Industrial
SSO;Detector Fixo;Reposição;Sensor;ION
SSO;Detector Fixo;Produto;TOP TRACK;Clean
SSO;Detector Fixo;Produto;TOUCHPOINT;
SSO;Detector Fixo;Produto;TOUCHPOINT;HON
SSO;Detector Fixo;Produto;TVOC;ION
SSO;Detector Fixo;Produto;Vent Line;HON
SSO;Detector Fixo;Produto;XCD;HON
SSO;Detector Fixo;Produto;XCL;HON
SSO;Detector Fixo;Produto;XNX;Clean
SSO;Detector Fixo;Produto;XNX;HON
SSO;Detector Fixo;Produto;XPV;HON
SSO;Detector Fixo;Produto;XRL;HON
SSO;Detector Fixo;Produto;Zareba;HON
SSO;Detector Portátil;Produto;Acessório;Clean
SSO;Detector Portátil;Produto;Acessório;HON
SSO;Detector Portátil;Produto;Acessório;Industrial
SSO;Detector Portátil;Produto;Acessório;ION
SSO;Detector Portátil;Reposição;Acessório;
SSO;Detector Portátil;Reposição;Acessório;DPUNION
SSO;Detector Portátil;Reposição;Acessório;HON
SSO;Detector Portátil;Reposição;Acessório;Industrial
SSO;Detector Portátil;Reposição;Acessório;ION
SSO;Detector Portátil;Produto;AIR AWARE;Industrial
SSO;Detector Portátil;Reposição;Anel;ION
SSO;Detector Portátil;Produto;BADGE PLUS;Industrial
SSO;Detector Portátil;Produto;BM25;Industrial
SSO;Detector Portátil;Produto;BW Clip;HON
SSO;Detector Portátil;Produto;BW Quattro;HON
SSO;Detector Portátil;Produto;BW SOLO;
SSO;Detector Portátil;Produto;BW SOLO;HON
SSO;Detector Portátil;Produto;chempro;environics
SSO;Detector Portátil;Produto;CUB;ION
SSO;Detector Portátil;Produto;EC-P2;HON
SSO;Detector Portátil;Produto;Estação;Industrial
SSO;Detector Portátil;Insumo;Filtro;DPUNION
SSO;Detector Portátil;Insumo;Filtro;HON
SSO;Detector Portátil;Insumo;Filtro;Industrial
SSO;Detector Portátil;Insumo;Filtro;ION
SSO;Detector Portátil;Produto;GT;Thermo
SSO;Detector Portátil;Produto;IMPACT PRO;HON
SSO;Detector Portátil;Produto;Intellidox;HON
SSO;Detector Portátil;Produto;Leakmate;ION
SSO;Detector Portátil;Produto;Max XT;
SSO;Detector Portátil;Produto;Max XT;HON
SSO;Detector Portátil;Produto;MGD;RADIONDETECTION
SSO;Detector Portátil;Produto;MICRO 4;HON
SSO;Detector Portátil;Produto;MICRO 5;HON
SSO;Detector Portátil;Produto;MicroClip;
SSO;Detector Portátil;Produto;MicroClip;HON
SSO;Detector Portátil;Produto;MicroDock;HON
SSO;Detector Portátil;Produto;MIRAN;Thermo
SSO;Detector Portátil;Produto;MVI;ION
SSO;Detector Portátil;Produto;MX4;Industrial
SSO;Detector Portátil;Produto;MX6;Industrial
SSO;Detector Portátil;Produto;PHD6;HON
SSO;Detector Portátil;Produto;Raeguard;HON
SSO;Detector Portátil;Produto;RIKEN KEIKE;Clean
SSO;Detector Portátil;Reposição;Sensor;DPUNION
SSO;Detector Portátil;Reposição;Sensor;HON
SSO;Detector Portátil;Reposição;Sensor;Industrial
SSO;Detector Portátil;Produto;SHARPEYE;Industrial
SSO;Detector Portátil;Produto;SPM FLEX;HON
SSO;Detector Portátil;Produto;TX1;Industrial
SSO;Diversos Diversos;Serviço;Calibração;Clean
SSO;Diversos Diversos;Produto;Diversos;
SSO;Diversos Diversos;Serviço;Hora Técnica;Clean
SSO;Diversos Portátil;Produto;Diversos;CASELLA
SSO;Diversos Portátil;Produto;Microdust;CASELLA
SSO;Dosimetro Portátil;Produto;Acessório;CASELLA
SSO;Dosimetro Portátil;Produto;Dosimetro;CASELLA
SSO;Elevador de Liquidos Fixo;Reposição;Acessório;QED
SSO;Medidor de Vazão Portátil;Produto;Acessório;Clean
SSO;Medidor de Vazão Portátil;Produto;SAGE RIO;Clean
SSO;Monitoramento Portátil;Produto;Sistema;CASELLA
SSO;Outros Diversos;Produto;Acessório;HON
SSO;Outros Diversos;Reposição;Acessório;Clean
SSO;Outros Diversos;Reposição;Acessório;HON
SSO;Outros Diversos;Produto;Outros;Clean
SSO;Outros Fixo;Produto;Acessório;HON
SSO;Outros Fixo;Produto;Outros;HON
SSO;Painel controlador Diversos;Produto;CLEANVIEWERGAS;Clean
SSO;Painel controlador Fixo;Produto;Acessório;Industrial
SSO;Painel controlador Fixo;Reposição;Acessório;QED
SSO;Painel controlador Fixo;Produto;WX16;Industrial
SSO;Painel controlador Fixo;Produto;WX4;Industrial
SSO;Painel controlador Fixo;Produto;WX64;Industrial
