tipo_meta;linha;grupo;subgrupo;tipo_mercadoria;referencia_media_ponderada_pct;meta_rentabilidade_alvo_pct
rentabilidade;Hidrologia;Medidor de Vazão Portátil;Acessório;Reposição;0.376107308;0.386107308
rentabilidade;Hidrologia;Medidor de Vazão Portátil;Anel;Reposição;0.0277;0.0377
rentabilidade;Hidrologia;Medidor de Vazão Portátil;Argonaut;Produto;0.357313616;0.367313616
rentabilidade;Hidrologia;Medidor de Vazão Portátil;Cabo;Reposição;0.367699238;0.377699238
rentabilidade;Hidrologia;Medidor de Vazão Portátil;DataLogger;Produto;0.357313616;0.367313616
rentabilidade;Hidrologia;Medidor de Vazão Portátil;Embarcação;Produto;0.357313616;0.367313616
rentabilidade;Hidrologia;Medidor de Vazão Portátil;Filtro;Insumo;0.357313616;0.367313616
rentabilidade;Hidrologia;Medidor de Vazão Portátil;M9;Reposição;0.357313616;0.367313616
rentabilidade;Hidrologia;Medidor de Vazão Portátil;MicroADV;Produto;0.357313616;0.367313616
rentabilidade;Hidrologia;Medidor de Vazão Portátil;MV02;Produto;0.357313616;0.367313616
rentabilidade;Hidrologia;Medidor de Vazão Portátil;MV03;Produto;0.357313616;0.367313616
rentabilidade;Hidrologia;Medidor de Vazão Portátil;PCM;Produto;0.357313616;0.367313616
rentabilidade;Hidrologia;Medidor de Vazão Portátil;Sensor;Produto;0.357313616;0.367313616
rentabilidade;Hidrologia;Medidor de Vazão Portátil;Sensor;Reposição;0.3686;0.3786
rentabilidade;Hidrologia;Medidor de Vazão Portátil;Sistema;Produto;0.357313616;0.367313616
rentabilidade;Hidrologia;Medidor de Vazão RS5;Embarcação;Produto;0.357313616;0.367313616
rentabilidade;Hidrologia;Medidor de Vazão RS5;RS5;Produto;0.3978;0.4078
rentabilidade;Hidrologia;Medidor de Vazão RS6;RS6;Produto;0.357313616;0.367313616
rentabilidade;Hidrologia;Medidor de Vazão RS7;RS7;Produto;0.357313616;0.367313616
rentabilidade;Hidrologia;Medidor de Vazão RS-M10;M10;Produto;0.357313616;0.367313616
rentabilidade;Hidrologia;Medidor de Vazão RS-M11;M11;Produto;0.357313616;0.367313616
rentabilidade;Hidrologia;Medidor de Vazão RS-M9;Acessório;Produto;0.357313616;0.367313616
